problem opt_cost calc_cost
bayg29.tsp 1610 1697
bayg29.tsp 1610 1817
bayg29.tsp 1610 1645
bayg29.tsp 1610 1680
bayg29.tsp 1610 1638
bayg29.tsp 1610 1696
bayg29.tsp 1610 1630
bayg29.tsp 1610 2464
bayg29.tsp 1610 1713
bayg29.tsp 1610 1660
bayg29.tsp 1610 1637
bays29.tsp 2020 2087
bays29.tsp 2020 2083
bays29.tsp 2020 2100
bays29.tsp 2020 2118
bays29.tsp 2020 2074
bays29.tsp 2020 2062
bays29.tsp 2020 2082
bays29.tsp 2020 2051
bays29.tsp 2020 2070
bays29.tsp 2020 2066
bays29.tsp 2020 2109
bays29.tsp 2020 2059
bays29.tsp 2020 2097
bays29.tsp 2020 2100
bays29.tsp 2020 2099
bays29.tsp 2020 2095
bays29.tsp 2020 2167
bays29.tsp 2020 2124
bays29.tsp 2020 2706
bays29.tsp 2020 2159
bays29.tsp 2020 2070
bays29.tsp 2020 2039
bays29.tsp 2020 2261
bays29.tsp 2020 2065
bays29.tsp 2020 2070
bays29.tsp 2020 2130
bays29.tsp 2020 2065
bays29.tsp 2020 2069
bays29.tsp 2020 2104
bays29.tsp 2020 2083
bays29.tsp 2020 2143
bays29.tsp 2020 2143
bays29.tsp 2020 2045
bays29.tsp 2020 2035
bays29.tsp 2020 2067
bays29.tsp 2020 2072
bays29.tsp 2020 2068
bays29.tsp 2020 2088
bays29.tsp 2020 2028
bays29.tsp 2020 2105
bays29.tsp 2020 2118
bays29.tsp 2020 2067
bays29.tsp 2020 2180
bays29.tsp 2020 2642
bays29.tsp 2020 2116
bays29.tsp 2020 2071
bays29.tsp 2020 2034
bays29.tsp 2020 3249
bays29.tsp 2020 2066
bays29.tsp 2020 2130
ftv33.atsp 1286 1977
ftv33.atsp 1286 1841
ftv33.atsp 1286 2173
ftv33.atsp 1286 2193
ftv33.atsp 1286 1730
ftv33.atsp 1286 2118
ftv33.atsp 1286 1765
ftv33.atsp 1286 2016
ftv33.atsp 1286 2863
ftv33.atsp 1286 1741
ftv33.atsp 1286 1961
ftv33.atsp 1286 1815
ftv33.atsp 1286 1974
ftv33.atsp 1286 1944
ftv33.atsp 1286 2039
ftv33.atsp 1286 2286
ftv33.atsp 1286 1919
ftv33.atsp 1286 1771
ftv33.atsp 1286 1683
ftv33.atsp 1286 2179
ftv33.atsp 1286 1614
ftv33.atsp 1286 3068
ftv33.atsp 1286 1889
ftv33.atsp 1286 2048
ftv33.atsp 1286 1828
ftv33.atsp 1286 2863
ftv33.atsp 1286 2339
ftv33.atsp 1286 2130
ftv33.atsp 1286 2095
ftv33.atsp 1286 2516
ftv33.atsp 1286 2123
ftv33.atsp 1286 2797
ftv33.atsp 1286 1926
ftv33.atsp 1286 3017
ftv33.atsp 1286 2687
ftv33.atsp 1286 2396
ftv33.atsp 1286 2073
ftv33.atsp 1286 2854
ftv33.atsp 1286 1954
ftv33.atsp 1286 2591
ftv33.atsp 1286 2471
ftv33.atsp 1286 2011
ftv33.atsp 1286 1708
ftv33.atsp 1286 1913
ftv33.atsp 1286 1998
ftv33.atsp 1286 1819
ftv33.atsp 1286 1919
ftv33.atsp 1286 2001
ftv33.atsp 1286 2148
ftv33.atsp 1286 2023
ftv35.atsp 1473 2615
ftv35.atsp 1473 1971
ftv35.atsp 1473 3529
ftv35.atsp 1473 2385
ftv35.atsp 1473 2309
ftv35.atsp 1473 1973
ftv35.atsp 1473 2332
ftv35.atsp 1473 2877
ftv35.atsp 1473 2639
ftv35.atsp 1473 2563
ftv35.atsp 1473 2179
ftv35.atsp 1473 2377
ftv35.atsp 1473 2039
ftv35.atsp 1473 2131
ftv35.atsp 1473 2652
ftv35.atsp 1473 2418
ftv35.atsp 1473 2353
ftv35.atsp 1473 3122
ftv35.atsp 1473 2219
ftv35.atsp 1473 2245
ftv35.atsp 1473 3406
ftv35.atsp 1473 2495
ftv35.atsp 1473 3111
ftv35.atsp 1473 3269
ftv35.atsp 1473 2322
ftv35.atsp 1473 2957
ftv35.atsp 1473 2434
ftv35.atsp 1473 2150
ftv35.atsp 1473 3211
ftv35.atsp 1473 3216
ftv35.atsp 1473 2464
ftv35.atsp 1473 2531
ftv35.atsp 1473 2045
ftv35.atsp 1473 2947
ftv35.atsp 1473 2486
ftv35.atsp 1473 2649
ftv35.atsp 1473 3130
ftv35.atsp 1473 2328
ftv35.atsp 1473 2209
ftv35.atsp 1473 3211
ftv35.atsp 1473 2940
ftv35.atsp 1473 2232
ftv35.atsp 1473 2278
ftv35.atsp 1473 2527
ftv35.atsp 1473 2978
ftv35.atsp 1473 2490
ftv35.atsp 1473 3076
ftv35.atsp 1473 2453
ftv35.atsp 1473 1956
ftv35.atsp 1473 2258
ftv38.atsp 1530 2973
ftv38.atsp 1530 2331
ftv38.atsp 1530 2703
ftv38.atsp 1530 2465
ftv38.atsp 1530 2855
ftv38.atsp 1530 3548
ftv38.atsp 1530 3652
ftv38.atsp 1530 2772
ftv38.atsp 1530 3215
ftv38.atsp 1530 2095
ftv38.atsp 1530 2216
ftv38.atsp 1530 2272
ftv38.atsp 1530 2388
ftv38.atsp 1530 2560
ftv38.atsp 1530 2377
ftv38.atsp 1530 2135
ftv38.atsp 1530 2220
ftv38.atsp 1530 2568
ftv38.atsp 1530 2880
ftv38.atsp 1530 2309
ftv38.atsp 1530 2474
ftv38.atsp 1530 2389
ftv38.atsp 1530 2246
ftv38.atsp 1530 3342
ftv38.atsp 1530 3185
ftv38.atsp 1530 2592
ftv38.atsp 1530 2978
ftv38.atsp 1530 2172
ftv38.atsp 1530 2176
ftv38.atsp 1530 2231
ftv38.atsp 1530 3303
ftv38.atsp 1530 3387
ftv38.atsp 1530 2121
ftv38.atsp 1530 3267
ftv38.atsp 1530 2660
ftv38.atsp 1530 3109
ftv38.atsp 1530 3654
ftv38.atsp 1530 3243
ftv38.atsp 1530 3589
ftv38.atsp 1530 2388
ftv38.atsp 1530 2153
ftv38.atsp 1530 2501
ftv38.atsp 1530 3524
ftv38.atsp 1530 3322
ftv38.atsp 1530 3740
ftv38.atsp 1530 1843
ftv38.atsp 1530 2506
ftv38.atsp 1530 3611
ftv38.atsp 1530 2308
ftv38.atsp 1530 2468
dantzig42.tsp 699 734
dantzig42.tsp 699 2005
dantzig42.tsp 699 2055
dantzig42.tsp 699 765
dantzig42.tsp 699 767
dantzig42.tsp 699 1521
dantzig42.tsp 699 1709
dantzig42.tsp 699 2039
dantzig42.tsp 699 738
dantzig42.tsp 699 864
dantzig42.tsp 699 734
dantzig42.tsp 699 1976
dantzig42.tsp 699 976
dantzig42.tsp 699 1893
dantzig42.tsp 699 1977
dantzig42.tsp 699 2183
dantzig42.tsp 699 769
dantzig42.tsp 699 740
dantzig42.tsp 699 738
dantzig42.tsp 699 2069
dantzig42.tsp 699 757
dantzig42.tsp 699 793
dantzig42.tsp 699 811
dantzig42.tsp 699 731
dantzig42.tsp 699 1276
dantzig42.tsp 699 767
dantzig42.tsp 699 1805
dantzig42.tsp 699 1724
dantzig42.tsp 699 746
dantzig42.tsp 699 739
dantzig42.tsp 699 1440
dantzig42.tsp 699 1704
dantzig42.tsp 699 1847
dantzig42.tsp 699 749
dantzig42.tsp 699 1634
dantzig42.tsp 699 1304
dantzig42.tsp 699 2178
dantzig42.tsp 699 753
dantzig42.tsp 699 760
dantzig42.tsp 699 790
dantzig42.tsp 699 739
dantzig42.tsp 699 2051
dantzig42.tsp 699 778
dantzig42.tsp 699 1938
dantzig42.tsp 699 2023
dantzig42.tsp 699 717
dantzig42.tsp 699 746
dantzig42.tsp 699 706
