problem opt_cost calc_cost
fri26.tsp 937 1694
fri26.tsp 937 1429
fri26.tsp 937 1606
fri26.tsp 937 937
fri26.tsp 937 937
fri26.tsp 937 1616
fri26.tsp 937 964
fri26.tsp 937 1675
fri26.tsp 937 1723
fri26.tsp 937 1016
fri26.tsp 937 1582
fri26.tsp 937 1349
fri26.tsp 937 1714
fri26.tsp 937 974
fri26.tsp 937 989
fri26.tsp 937 958
bayg29.tsp 1610 1814
bayg29.tsp 1610 1637
bayg29.tsp 1610 2021
bayg29.tsp 1610 1654
bayg29.tsp 1610 1824
bayg29.tsp 1610 1794
bayg29.tsp 1610 1625
bayg29.tsp 1610 1635
bayg29.tsp 1610 1646
bayg29.tsp 1610 1700
bayg29.tsp 1610 1952
bayg29.tsp 1610 1692
bayg29.tsp 1610 1704
bayg29.tsp 1610 1701
bayg29.tsp 1610 1653
bayg29.tsp 1610 1648
bayg29.tsp 1610 2855
bayg29.tsp 1610 2090
bayg29.tsp 1610 2038
bayg29.tsp 1610 2542
bayg29.tsp 1610 2637
bayg29.tsp 1610 2109
bayg29.tsp 1610 1662
bayg29.tsp 1610 1663
bayg29.tsp 1610 1679
bayg29.tsp 1610 1668
bayg29.tsp 1610 1702
bayg29.tsp 1610 2647
bayg29.tsp 1610 1829
bayg29.tsp 1610 1663
bayg29.tsp 1610 1615
bayg29.tsp 1610 1686
bayg29.tsp 1610 1995
bayg29.tsp 1610 1703
bayg29.tsp 1610 2573
bayg29.tsp 1610 1650
bayg29.tsp 1610 1628
bayg29.tsp 1610 1743
bayg29.tsp 1610 1677
bayg29.tsp 1610 1740
bayg29.tsp 1610 1749
bayg29.tsp 1610 2711
bayg29.tsp 1610 1720
bayg29.tsp 1610 1642
bayg29.tsp 1610 1637
bayg29.tsp 1610 1667
bayg29.tsp 1610 1672
bayg29.tsp 1610 1676
bayg29.tsp 1610 1739
bayg29.tsp 1610 1654
bays29.tsp 2020 2533
bays29.tsp 2020 2111
bays29.tsp 2020 2372
bays29.tsp 2020 2138
bays29.tsp 2020 2564
bays29.tsp 2020 2070
bays29.tsp 2020 2078
bays29.tsp 2020 2020
bays29.tsp 2020 2123
bays29.tsp 2020 2620
bays29.tsp 2020 2047
bays29.tsp 2020 2065
bays29.tsp 2020 2256
bays29.tsp 2020 2028
bays29.tsp 2020 2083
bays29.tsp 2020 2131
bays29.tsp 2020 2114
bays29.tsp 2020 2069
bays29.tsp 2020 2924
bays29.tsp 2020 2091
bays29.tsp 2020 3292
bays29.tsp 2020 2185
bays29.tsp 2020 2054
bays29.tsp 2020 2069
bays29.tsp 2020 2070
bays29.tsp 2020 2157
bays29.tsp 2020 2068
bays29.tsp 2020 3229
bays29.tsp 2020 2031
bays29.tsp 2020 2146
bays29.tsp 2020 2197
bays29.tsp 2020 2078
bays29.tsp 2020 2077
bays29.tsp 2020 2100
bays29.tsp 2020 2090
bays29.tsp 2020 2335
bays29.tsp 2020 3320
bays29.tsp 2020 2085
bays29.tsp 2020 3253
bays29.tsp 2020 2035
bays29.tsp 2020 2778
bays29.tsp 2020 2069
bays29.tsp 2020 2066
bays29.tsp 2020 2134
bays29.tsp 2020 2103
bays29.tsp 2020 2264
bays29.tsp 2020 2093
bays29.tsp 2020 2335
bays29.tsp 2020 2093
bays29.tsp 2020 2071
ftv33.atsp 1286 1628
ftv33.atsp 1286 1967
ftv33.atsp 1286 1645
ftv33.atsp 1286 2890
ftv33.atsp 1286 1833
ftv33.atsp 1286 1898
ftv33.atsp 1286 2339
ftv33.atsp 1286 2889
ftv33.atsp 1286 2908
ftv33.atsp 1286 1973
ftv33.atsp 1286 2724
ftv33.atsp 1286 1888
ftv33.atsp 1286 2080
ftv33.atsp 1286 2445
ftv33.atsp 1286 2582
ftv33.atsp 1286 2473
ftv33.atsp 1286 2755
ftv33.atsp 1286 1891
ftv33.atsp 1286 2940
ftv33.atsp 1286 1915
ftv33.atsp 1286 2957
ftv33.atsp 1286 1669
ftv33.atsp 1286 2698
ftv33.atsp 1286 1872
ftv33.atsp 1286 2030
ftv33.atsp 1286 2146
ftv33.atsp 1286 1995
ftv33.atsp 1286 2136
ftv33.atsp 1286 1805
ftv33.atsp 1286 1863
ftv33.atsp 1286 2125
ftv33.atsp 1286 1794
ftv33.atsp 1286 2789
ftv33.atsp 1286 2201
ftv33.atsp 1286 1811
ftv33.atsp 1286 1675
ftv33.atsp 1286 2349
ftv33.atsp 1286 1909
ftv33.atsp 1286 2601
ftv33.atsp 1286 2346
ftv33.atsp 1286 1700
ftv33.atsp 1286 1808
ftv33.atsp 1286 2257
ftv33.atsp 1286 1987
ftv33.atsp 1286 1909
ftv33.atsp 1286 2267
ftv33.atsp 1286 1813
ftv33.atsp 1286 1770
ftv33.atsp 1286 2658
ftv33.atsp 1286 2623
ftv35.atsp 1473 2101
ftv35.atsp 1473 3531
ftv35.atsp 1473 2001
ftv35.atsp 1473 2536
ftv35.atsp 1473 2269
ftv35.atsp 1473 3010
ftv35.atsp 1473 3496
ftv35.atsp 1473 2714
ftv35.atsp 1473 2940
ftv35.atsp 1473 2128
ftv35.atsp 1473 3315
ftv35.atsp 1473 2087
ftv35.atsp 1473 2012
ftv35.atsp 1473 2325
ftv35.atsp 1473 2187
ftv35.atsp 1473 2176
ftv35.atsp 1473 3296
ftv35.atsp 1473 2152
ftv35.atsp 1473 2317
ftv35.atsp 1473 3008
ftv35.atsp 1473 2168
ftv35.atsp 1473 2153
